scale	N	K0	K1	K2	K3
14	262144	3.86501e+06	4.14911e+06	5.43618e+06	8.95677e+08
15	524288	3.57318e+06	3.9928e+06	5.02813e+06	7.83151e+08
16	1048576	3.36785e+06	3.93933e+06	4.80025e+06	6.4819e+08
17	2097152	2.78223e+06	2.78233e+06	4.08155e+06	4.24317e+08
18	4194304	2.06406e+06	2.29034e+06	3.97643e+06	2.89572e+08
19	8388608	1.69617e+06	1.80625e+06	3.95827e+06	2.58193e+08
20	16777216	1.52765e+06	1.69305e+06	3.87632e+06	2.1753e+08
21	33554432	1.36167e+06	1.43266e+06	3.77994e+06	1.67453e+08
22	67108864	1.43842e+06	1.37637e+06	3.62804e+06	1.34612e+08
#	C++	run	on	2015-10-26	20:59:15	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.87774e+06	1.79816e+06	3.12844e+06	5.48136e+08
11	32768	2.13996e+06	2.08022e+06	3.49952e+06	5.88797e+08
12	65536	2.49511e+06	2.78353e+06	4.46546e+06	7.40127e+08
13	131072	3.22901e+06	3.75739e+06	5.62702e+06	9.29457e+08
14	262144	3.84156e+06	4.1565e+06	5.45958e+06	8.81851e+08
15	524288	3.56445e+06	4.039e+06	5.10879e+06	7.8804e+08
16	1048576	3.37243e+06	3.9473e+06	4.79784e+06	6.71937e+08
17	2097152	2.76395e+06	2.94924e+06	4.06012e+06	4.32285e+08
18	4194304	1.96937e+06	2.2801e+06	3.97793e+06	2.89175e+08
19	8388608	1.73177e+06	1.95746e+06	3.94114e+06	2.5749e+08
20	16777216	1.56456e+06	1.7259e+06	3.86387e+06	2.19229e+08
21	33554432	1.48747e+06	1.69943e+06	3.76958e+06	1.65447e+08
22	67108864	1.58162e+06	1.46215e+06	3.6189e+06	1.32824e+08
#	C++	run	on	2015-10-26	21:02:55	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.89181e+06	1.78681e+06	3.13676e+06	5.3057e+08
